"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 04 08:35:48 CLST 2022","Fri Mar 04 08:35:58 CLST 2022","10356","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC004_goToProfileAndValidateLegal","Scenario Go to Profile and validate Legal","Go to Profile and validate Legal"
"passed","Fri Mar 04 08:36:08 CLST 2022","Fri Mar 04 08:36:08 CLST 2022","326","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC007_screenShotOfProfileBottomPage","Scenario Screenshot of Profile bottom page","Screenshot of Profile bottom page"
"passed","Fri Mar 04 08:35:25 CLST 2022","Fri Mar 04 08:35:32 CLST 2022","7113","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC004_selectValueFromResultSearchBasedOnText","Scenario Select a value from result search based on a text","Select a value from result search based on a text"
"passed","Fri Mar 04 08:35:44 CLST 2022","Fri Mar 04 08:35:48 CLST 2022","4014","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC003_swipeToGetBottomOfTheScreen","Scenario Swipe to get bottom of the screen","Swipe to get bottom of the screen"
"passed","Fri Mar 04 08:35:42 CLST 2022","Fri Mar 04 08:35:44 CLST 2022","1607","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC002_verifyProfilePage","Scenario Verify Profile page","Verify Profile page"
"passed","Fri Mar 04 08:35:14 CLST 2022","Fri Mar 04 08:35:19 CLST 2022","5262","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC002_lookForDestinationWhitExcel","Scenario Look for destination whit Excel","Look for destination whit Excel"
"passed","Fri Mar 04 08:35:58 CLST 2022","Fri Mar 04 08:36:05 CLST 2022","7019","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC005_scrollToExactlyText","Scenario Scroll to exactly text Learn about hosting","Scroll to exactly text Learn about hosting"
"failed","Fri Mar 04 08:36:05 CLST 2022","Fri Mar 04 08:36:08 CLST 2022","2829","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC006_scrollToPartialText","Scenario Scroll to partial text money","Scroll to partial text money"
"passed","Fri Mar 04 08:35:06 CLST 2022","Fri Mar 04 08:35:13 CLST 2022","7528","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC001_lookForDestinationWhitJSON","Scenario Look for destination whit JSON","Look for destination whit JSON"
"failed","Fri Mar 04 08:35:19 CLST 2022","Fri Mar 04 08:35:25 CLST 2022","5868","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC003_findRestaurantWhitJSON","Scenario Find a Restaurant whit JSON","Find a Restaurant whit JSON"
"passed","Fri Mar 04 08:35:38 CLST 2022","Fri Mar 04 08:35:42 CLST 2022","4109","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC001_clickOnProfile","Scenario Click on Profile","Click on Profile"
